periode_data,tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
201801,2018-01-08,DKI4 (Lubang Buaya),62,32,16,48,6,62,PM10,SEDANG
201801,2018-01-09,DKI4 (Lubang Buaya),45,32,11,37,7,45,PM10,BAIK
201801,2018-01-10,DKI4 (Lubang Buaya),36,34,12,55,9,55,O3,SEDANG
201801,2018-01-11,DKI4 (Lubang Buaya),37,38,9,43,7,43,O3,BAIK
201801,2018-01-12,DKI4 (Lubang Buaya),37,33,13,47,9,47,O3,BAIK
201801,2018-01-13,DKI4 (Lubang Buaya),51,,13,,8,51,PM10,SEDANG
201801,2018-01-14,DKI4 (Lubang Buaya),26,72,7,29,5,72,SO2,SEDANG
201801,2018-01-15,DKI4 (Lubang Buaya),22,72,11,,7,72,SO2,SEDANG
201801,2018-01-16,DKI4 (Lubang Buaya),18,70,7,,5,70,SO2,SEDANG
201801,2018-01-17,DKI4 (Lubang Buaya),35,52,12,28,11,52,SO2,SEDANG
201801,2018-01-18,DKI4 (Lubang Buaya),38,52,19,,10,52,SO2,SEDANG
201801,2018-01-19,DKI4 (Lubang Buaya),36,51,29,24,13,51,SO2,SEDANG
201801,2018-01-20,DKI4 (Lubang Buaya),24,51,7,29,5,51,SO2,SEDANG
201801,2018-01-21,DKI4 (Lubang Buaya),21,51,6,31,4,51,SO2,SEDANG
201801,2018-01-22,DKI4 (Lubang Buaya),20,52,7,25,3,52,SO2,SEDANG
201801,2018-01-23,DKI4 (Lubang Buaya),22,52,7,45,5,52,SO2,SEDANG
201801,2018-01-24,DKI4 (Lubang Buaya),33,53,15,38,7,53,SO2,SEDANG
201801,2018-01-25,DKI4 (Lubang Buaya),21,53,8,23,6,53,SO2,SEDANG
201801,2018-01-26,DKI4 (Lubang Buaya),18,53,7,19,5,53,SO2,SEDANG
201801,2018-01-27,DKI4 (Lubang Buaya),23,54,6,31,4,54,SO2,SEDANG
201801,2018-01-28,DKI4 (Lubang Buaya),34,55,9,33,6,55,SO2,SEDANG
201801,2018-01-29,DKI4 (Lubang Buaya),16,54,8,13,5,54,SO2,SEDANG
201801,2018-01-30,DKI4 (Lubang Buaya),14,,8,16,4,16,O3,BAIK
201801,2018-01-31,DKI4 (Lubang Buaya),21,54,8,31,5,54,SO2,SEDANG
201801,2018-01-01,DKI5 (Kebon Jeruk) Jakarta Barat,45,19,38,20,4,45,PM10,BAIK
201801,2018-01-02,DKI5 (Kebon Jeruk) Jakarta Barat,11,17,24,16,,24,CO,BAIK
201801,2018-01-03,DKI5 (Kebon Jeruk) Jakarta Barat,40,21,35,45,11,45,O3,BAIK
201801,2018-01-04,DKI5 (Kebon Jeruk) Jakarta Barat,36,20,34,9,8,36,PM10,BAIK
201801,2018-01-05,DKI5 (Kebon Jeruk) Jakarta Barat,31,18,26,9,5,31,PM10,BAIK
201801,2018-01-06,DKI5 (Kebon Jeruk) Jakarta Barat,15,18,22,31,3,31,O3,BAIK
201801,2018-01-07,DKI5 (Kebon Jeruk) Jakarta Barat,18,19,7,46,4,46,O3,BAIK
201801,2018-01-08,DKI5 (Kebon Jeruk) Jakarta Barat,47,27,13,73,11,73,O3,SEDANG
201801,2018-01-09,DKI5 (Kebon Jeruk) Jakarta Barat,29,24,16,61,10,61,O3,SEDANG
201801,2018-01-10,DKI5 (Kebon Jeruk) Jakarta Barat,,26,11,95,8,95,O3,SEDANG
201801,2018-01-11,DKI5 (Kebon Jeruk) Jakarta Barat,,37,7,81,11,81,O3,SEDANG
201801,2018-01-12,DKI5 (Kebon Jeruk) Jakarta Barat,32,25,,83,13,83,O3,SEDANG
201801,2018-01-13,DKI5 (Kebon Jeruk) Jakarta Barat,43,28,,93,12,93,O3,SEDANG
201801,2018-01-14,DKI5 (Kebon Jeruk) Jakarta Barat,33,23,,73,8,73,O3,SEDANG
201801,2018-01-15,DKI5 (Kebon Jeruk) Jakarta Barat,20,21,4,70,7,70,O3,SEDANG
201801,2018-01-16,DKI5 (Kebon Jeruk) Jakarta Barat,18,46,10,61,2,61,O3,SEDANG
201801,2018-01-17,DKI5 (Kebon Jeruk) Jakarta Barat,30,46,9,60,3,60,O3,SEDANG
201801,2018-01-18,DKI5 (Kebon Jeruk) Jakarta Barat,33,47,13,56,4,56,O3,SEDANG
201801,2018-01-19,DKI5 (Kebon Jeruk) Jakarta Barat,32,42,27,48,5,48,O3,BAIK
201801,2018-01-20,DKI5 (Kebon Jeruk) Jakarta Barat,16,40,10,38,2,40,SO2,BAIK
201801,2018-01-21,DKI5 (Kebon Jeruk) Jakarta Barat,19,40,18,40,2,40,SO2,BAIK
201801,2018-01-22,DKI5 (Kebon Jeruk) Jakarta Barat,20,38,11,32,2,38,SO2,BAIK
201801,2018-01-23,DKI5 (Kebon Jeruk) Jakarta Barat,18,42,,57,,57,O3,SEDANG
201801,2018-01-24,DKI5 (Kebon Jeruk) Jakarta Barat,31,47,,86,2,86,O3,SEDANG
201801,2018-01-25,DKI5 (Kebon Jeruk) Jakarta Barat,19,41,22,51,2,51,O3,SEDANG
201801,2018-01-26,DKI5 (Kebon Jeruk) Jakarta Barat,17,41,17,41,2,41,SO2,BAIK
